mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_sampler,param_scaler,param_transformer,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision
0.13851852416992189,0.010299254988473273,0.04083781242370606,0.0017164988572017674,LogisticRegression(),RandomUnderSampler(replacement=True),StandardScaler(),"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])","{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.5464147922426572,0.5156004692246814,0.5469001720254668,0.5256070548175997,0.53573966517105,0.534052430696291,0.012104036155922926,10,0.5320680464475747,0.5342781229590439,0.5306633024167214,0.5357245830019007,0.5355479073302303,0.5336563924310942,0.001986112811383683,0.5487438003089682,0.5160188648560742,0.5351276630346398,0.5339892665474061,0.5683037892340218,0.5404366767962221,0.017387170687944768,15,0.5428524963408684,0.5218018823816397,0.5318846177301648,0.536112861585998,0.5625597137804159,0.5390423143638173,0.01359876738257584,0.15858095815645848,0.14556416881998274,0.16234432234432233,0.1525950022179506,0.15421379639955393,0.1546596495876536,0.005685423123928416,5,0.15356820234869015,0.1546643668247808,0.1528217202560518,0.15343522777860216,0.1560845523353857,0.15411481390870213,0.0011501817749740239,0.5240480961923848,0.5085255767301906,0.5551102204408818,0.5170340681362725,0.4849699398797595,0.5179375802758978,0.022783375692908038,4,0.511150087697319,0.5390781563126252,0.5204209471310448,0.5181658732147332,0.4986218992733651,0.5174873927258175,0.013200722917419699,0.09342622365130404,0.08493885072876528,0.09507465247983525,0.08950563746747615,0.09168403106648987,0.09092587907877411,0.0035185347191545894,9,0.0903574434158657,0.09028360463164961,0.08956060540727007,0.09005007620291748,0.09252371210712293,0.09055508835296515,0.0010229643218127198
0.1442171573638916,0.006236215542623871,0.05572466850280762,0.012369491484544394,LogisticRegression(),RandomUnderSampler(replacement=True),StandardScaler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': StandardScaler(), 'transformer': 'passthrough'}",0.7170535212536391,0.7254243040598658,0.7490118289676699,0.7336081898309894,0.7392747441786227,0.7328745176581574,0.011024732201396345,1,0.7378600202261464,0.7358402342615807,0.7304163727707726,0.7342490638448256,0.7320465893621473,0.7340824560930945,0.0026447099381311325,0.6813562078217741,0.6865343958367214,0.6806797853309481,0.676858025695235,0.6685639941453895,0.6787984817660135,0.005973872091172623,6,0.6805374857700439,0.6804829955481471,0.6795885593478747,0.6810928384119692,0.6723720854593133,0.6788147929074696,0.0032572152473094224,0.244457297088876,0.24956200116799687,0.25751559841179805,0.25018867924528304,0.25101065784638,0.2505468467520668,0.004170358265522518,2,0.2520584455761268,0.252164811114283,0.2501427212178877,0.2520263182988462,0.2488698326886331,0.2510524257791554,0.0013258369879590682,0.6352705410821643,0.6429287863590772,0.6823647294589178,0.6643286573146293,0.6843687374749499,0.6618522903379477,0.01999285542439491,1,0.6634928589325984,0.6638276553106213,0.6587321473314959,0.662240040090203,0.6690052618391381,0.6634595927008113,0.003308385443342757,0.15134877058963953,0.15483091787439612,0.1587042647401538,0.15411436541143655,0.1536903690369037,0.15453773753050595,0.0023879987926242164,3,0.15558166862514688,0.15564430870433454,0.15438369839685243,0.15562621444974387,0.15286843009275164,0.15482086405376588,0.001087068179314675
0.08326010704040528,0.008396483937398395,0.044400501251220706,0.009731496731576037,LogisticRegression(),RandomUnderSampler(replacement=True),passthrough,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])","{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': 'passthrough', 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.5450732896640107,0.5227220019495705,0.5412189866458581,0.5234487559189176,0.5268176618724174,0.5318561392101548,0.009400625398429414,15,0.5331548538358338,0.5379868578776101,0.5303356992417045,0.5377669310392877,0.53177894643728,0.5342046576863433,0.0031288922117144093,0.5567932352223758,0.5343958367214181,0.5425272402016588,0.5343958367214181,0.5264270613107822,0.5389078420355305,0.010290516060348283,16,0.5508822572776061,0.5390604354278048,0.547903156953225,0.5396296221007054,0.5234281300184985,0.540180720355568,0.00955371079849224,0.15527661552766156,0.15094899169632264,0.15245555890328413,0.15520802596636177,0.1520093185789167,0.15317970213450932,0.0017539323527894523,11,0.15336271316344127,0.15790841905893713,0.15430831241919538,0.15769702830364116,0.15437887750685328,0.15553107009041364,0.0018903766256738938,0.5020040080160321,0.5105315947843531,0.5070140280561122,0.5270541082164328,0.5230460921843687,0.5139299662514597,0.009559858408207734,6,0.5013781007266349,0.532565130260521,0.5083938862440491,0.5311951891756452,0.5362064645452268,0.5219477541904154,0.014201214943307217,0.0918423464711274,0.08856794849486689,0.0897163120567376,0.09100346020761246,0.0889267461669506,0.090011362679459,0.0012396492655728489,12,0.09052660152008686,0.09269675168955745,0.09095799524812839,0.09259259259259259,0.09016980575569881,0.09138874936121283,0.001055914782168962
0.18134670257568358,0.019444028604690616,0.04661850929260254,0.003032196868701518,LogisticRegression(),RandomUnderSampler(replacement=True),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(replacement=True), 'scaler': 'passthrough', 'transformer': 'passthrough'}",0.5494146420440208,0.5280630849277325,0.539973398123681,0.5195771188394488,0.5399491904162307,0.5353954868702228,0.010413597693590243,8,0.5397897243311288,0.5393675339883546,0.534092681277443,0.5436549190681024,0.538568045524225,0.5390945808378508,0.003054526193104693,0.5924871940808196,0.6118881118881119,0.5392746788095625,0.5390307367051553,0.6588876240039031,0.5883136690975105,0.045579569476804166,9,0.5885103268824199,0.6108389404996646,0.5396702782916268,0.5448132864431932,0.6533856442989856,0.5874436952831781,0.042418078623681896,0.15764705882352942,0.14538943598925694,0.15407584353538373,0.14867097161735998,0.13665363243465734,0.14848738848003748,0.007277350963806602,12,0.15376254180602006,0.14627185158758474,0.1528562343346676,0.1597748592870544,0.14363919441514741,0.15126093628609485,0.005731872402341654,0.46993987975951906,0.40722166499498497,0.5170340681362725,0.49599198396793587,0.33266533066132264,0.444570585504007,0.06701708073439326,11,0.4607867702330243,0.41082164328657317,0.5119017790027562,0.5334502630919569,0.3583061889250814,0.45505332890787836,0.06438501226968017,0.0947092084006462,0.08849171752397558,0.09052631578947369,0.08744038155802862,0.085988085988086,0.08943114185204201,0.003025150268777715,13,0.09227758542827036,0.08897569444444445,0.08984168865435356,0.09395825058475661,0.08982412060301508,0.09097546794296801,0.0018548667041914605
0.0775944709777832,0.008361778374756431,0.0420318603515625,0.012710345641441002,LogisticRegression(),RandomUnderSampler(),StandardScaler(),"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])","{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.5465351994139593,0.526387897432675,0.5471069572773867,0.5250046996648163,0.5338053540709737,0.5357680215719622,0.00950990507500117,7,0.5309389046972467,0.538530809877537,0.5309193428677202,0.5387134880302502,0.5352233695453281,0.5348651830036164,0.0034455735450750606,0.5420765915928124,0.5539112050739958,0.5356155472434542,0.5491949910554562,0.554155147178403,0.5469906964288243,0.007178079890622182,11,0.5372418279395024,0.5586363913564938,0.5373528754091029,0.553066493200252,0.549366779826398,0.5471328735463499,0.008555819636186844,0.15764283577624888,0.15077399380804954,0.15878627191044337,0.15384615384615385,0.15215710530385032,0.15464127212894918,0.0030967578861524,6,0.15186289120715352,0.15556938394523956,0.1541606273460438,0.15425450069241425,0.15440952090326515,0.15405138481882327,0.0012062567785473754,0.5280561122244489,0.4884653961885657,0.5400801603206413,0.5050100200400801,0.49298597194388777,0.5109195321435247,0.020023624790594326,7,0.5106489601603608,0.501002004008016,0.5196692558256076,0.5023803558005513,0.5071410674016538,0.5081683286392379,0.006698312665760558,0.09265119549929676,0.08914515833790958,0.09307546192367466,0.09074540871444005,0.08996160175534833,0.09111576524613388,0.0015199017100499712,7,0.08919427546063285,0.09208103130755065,0.09050445103857567,0.09111565553283345,0.09106861642294713,0.09079280595250795,0.0009463906299555627
0.15970516204833984,0.02611266048647587,0.06885614395141601,0.013343799001419483,LogisticRegression(),RandomUnderSampler(),StandardScaler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler(), 'transformer': 'passthrough'}",0.7153287195575116,0.7238962263305269,0.7480491070636849,0.7319093940092576,0.740516342419352,0.7319399578760666,0.011607711653773467,4,0.7377011208561446,0.7365595607932308,0.7301190521024413,0.7342837310234476,0.7330658398901179,0.7343458609330764,0.0026708224616779387,0.6788356776973737,0.686046511627907,0.6775898520084567,0.6754756871035941,0.6715726134330785,0.677904068374082,0.004759209330597781,7,0.6805374857700439,0.6817636655621735,0.6755026121602667,0.6790600288658956,0.6756042526375704,0.67849360899919,0.0025489596277629397,0.24155145929339478,0.2466341463414634,0.25679475164011245,0.24797437346900322,0.2532815677574413,0.24924725970028305,0.00530875165680835,3,0.25347964467246215,0.2544883089670936,0.249329884787209,0.251611679939325,0.25023491824844957,0.25182888732290787,0.0019303084437422382,0.6302605210420842,0.633901705115346,0.6863727454909819,0.6593186372745491,0.6863727454909819,0.6592452708827886,0.024307271294823234,2,0.6685041343021799,0.6693386773547094,0.6642445502380355,0.6649962415434728,0.6672513154597846,0.6668669837796365,0.0019654045892470557,0.1494061757719715,0.15310077519379844,0.15794327876412267,0.15270364353678348,0.15529358422126502,0.15368949149758823,0.00284017944040759,4,0.1563892145369285,0.15711177750338096,0.1534676392265833,0.15515931014323298,0.15399294512230383,0.1552241773064859,0.001380283501170523
0.08285312652587891,0.014139694114202165,0.03973088264465332,0.007183935233351875,LogisticRegression(),RandomUnderSampler(),passthrough,"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])","{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough', 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.5403708487677061,0.5223069882153317,0.5474509195381915,0.5253384645396988,0.5326431180945963,0.5336220678311049,0.0093208437005897,14,0.5304661146303548,0.5380015717149216,0.5308439996806673,0.5370770020786226,0.5350246624215578,0.5342826701052248,0.003117037790567922,0.5518334823969429,0.5458611156285574,0.5350463489998374,0.5533420068303789,0.5390307367051553,0.5450227381121745,0.007095516431672246,12,0.5506586436818995,0.5504238407903563,0.5332669282214949,0.5584127823064257,0.5397515906734698,0.5465027571347292,0.008891123722295892,0.15615431720759337,0.14927646610814926,0.16158357771260998,0.15531293249269565,0.15451155853840415,0.15536777041189048,0.003926703715636441,4,0.1532980923925534,0.15465178503172541,0.15289256198347106,0.15648662291771834,0.15635130603271602,0.15473607367163686,0.0014931060458956225,0.5110220440881763,0.49147442326980945,0.5521042084168337,0.5060120240480962,0.5190380761523046,0.515930155195044,0.02019288490163704,5,0.5013781007266349,0.5067635270541082,0.5191681282886494,0.504885993485342,0.5256827862691055,0.511575707164768,0.009258024227399476,0.09215757137694254,0.08800287356321838,0.09464101683270354,0.09173478655767484,0.09076572630103381,0.09146039492631462,0.0021501032513480895,6,0.09048157359258421,0.09124943617501127,0.08964651927486696,0.09259259259259259,0.0918322682307625,0.09116047797316351,0.0010259775916832638
0.18953704833984375,0.012280109585104742,0.06475486755371093,0.029552026232971918,LogisticRegression(),RandomUnderSampler(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough', 'transformer': 'passthrough'}",0.5469686386311248,0.5280690314461658,0.5458243034742051,0.5243475446468158,0.5444373703158529,0.5379293777028329,0.009675584492724277,6,0.5399916398919982,0.5404685612901874,0.5358267552814593,0.5456174838144907,0.5420350793488704,0.5407879039254012,0.003169520482307906,0.6262297747784372,0.5269149455195967,0.5600097576841763,0.5243942104407221,0.5330948121645797,0.5541287001175024,0.03821074341970835,10,0.6234550333387543,0.5277376862561747,0.5560547232329803,0.5310511658162747,0.5312137905799605,0.5539024798448289,0.03623187946009268,0.15356287976431596,0.15090484530064216,0.1554549711253317,0.14973106556185492,0.15954332552693207,0.15383941745581536,0.0034845752411501755,8,0.15106100187909624,0.1521167883211679,0.15165287651011927,0.1601194160265045,0.1596151743741117,0.1549130514221999,0.004062075974620117,0.41783567134268534,0.518555667001003,0.49899799599198397,0.5160320641282565,0.5460921843687375,0.4995027165665332,0.043535212827364535,10,0.41292909045352044,0.5220440881763527,0.4891004760711601,0.5509897268854923,0.5487346529691807,0.5047596069111412,0.051083919373505475,0.09406722309948116,0.08830059777967549,0.0920687742651137,0.08757014113246046,0.09341789509770312,0.09108492627488678,0.0026612401061444553,8,0.09243886021987885,0.08902939166097061,0.08973887458624494,0.09367013119781904,0.09339019189765459,0.09165348991251361,0.00191057194891037
0.2342071056365967,0.02092812134448304,0.0389366626739502,0.0043777919838524845,LogisticRegression(),SMOTE(),StandardScaler(),"ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])","{'estimator': LogisticRegression(), 'sampler': SMOTE(), 'scaler': StandardScaler(), 'transformer': ColumnTransformer(transformers=[('num',
                                 FunctionTransformer(func=<ufunc 'log1p'>),
                                 ['AMT_INCOME_TOTAL', 'AMT_CREDIT',
                                  'AMT_ANNUITY'])])}",0.5461131536588796,0.5209459455261636,0.5467773600297942,0.525191710855339,0.5320123876070726,0.5342081115354498,0.01059922419543084,9,0.5310432078734529,0.5374030593653403,0.5318087051114776,0.5379750505182389,0.5347884001114804,0.5346036845959979,0.0028187100565050137,0.5466298073014066,0.5384615384615384,0.5430151244104733,0.5473247682550008,0.5450479752805334,0.5440958427417906,0.003183294820298477,13,0.5411855586274191,0.5428414611835017,0.5449352550159575,0.5510133555587177,0.5409509483056533,0.5441853157382498,0.003700004248307858,0.15770392749244716,0.14774774774774777,0.15742128935532235,0.15253463236413456,0.15291445874337622,0.15366441114060558,0.0036681755863989694,9,0.15163133363404,0.1543899229178417,0.15300794551645855,0.15495274897654668,0.1538519184652278,0.15356677390202295,0.0011608640598116712,0.5230460921843687,0.4934804413239719,0.5260521042084169,0.5020040080160321,0.5060120240480962,0.5101189339561771,0.012494282718288702,8,0.5053871210223002,0.5142785571142284,0.5066399398646956,0.5073916311701328,0.514407416687547,0.5096209331717808,0.003908584374539995,0.09284951974386339,0.08687974571781741,0.09255994358251057,0.08992999461497038,0.09006598894239344,0.09045703852031103,0.002162123722222851,10,0.08919647990094194,0.09082865106401805,0.09011096751192121,0.09143863451639123,0.09045248270696568,0.09040544314004761,0.0007479451981244791
2.2848928451538084,0.10818453171913188,0.07719507217407226,0.010772974556344897,LogisticRegression(),SMOTE(),StandardScaler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': SMOTE(), 'scaler': StandardScaler(), 'transformer': 'passthrough'}",0.7162441864527215,0.7247815475450332,0.7468281696135635,0.7334632096050507,0.7397343359284941,0.7322102898289726,0.010788569469694207,3,0.7379954159042311,0.7361083253651393,0.7298928507020537,0.7341727949432173,0.7321317273852452,0.7340602228599773,0.002855844048256782,0.6847711196032198,0.6914132379248659,0.6832818344446251,0.6813302976093674,0.6780777362172711,0.6837748451598699,0.0044274943115642385,5,0.6862904537323142,0.6849348484540484,0.6817636655621735,0.6860732217998495,0.6835118817717968,0.6845148142640365,0.0016930830489681303,0.2455730686904067,0.24925816023738875,0.2579538959801867,0.24966494351905033,0.25400414546824945,0.25129084277905644,0.004271453539300117,1,0.2547807610585281,0.2543897628325396,0.2502035538100484,0.25334816032490454,0.251310411156528,0.25280652983650975,0.0017726496846580471,0.6322645290581163,0.6318956870611836,0.6783567134268537,0.6533066132264529,0.6753507014028056,0.6542348488350823,0.020051624883052597,3,0.6609872212478076,0.6623246492985972,0.6544725632673516,0.6564770734151841,0.6547231270358306,0.6577969268529542,0.0032533029533947898,0.15237865249939628,0.15524889107934944,0.1592566454951776,0.15431952662721893,0.15641680204223718,0.1555241035486759,0.0022868926406456004,2,0.15780343363043609,0.1574278058946115,0.15466603505447654,0.15696141864366164,0.15549869078790765,0.15647147680221868,0.0011945417420348016
