mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_sampler,param_scaler,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision
0.05464062690734863,0.008532737476590621,0.06916508674621583,0.012352087920885848,LogisticRegression(),RandomUnderSampler(),StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.7421191285848022,0.7285274804590834,0.7324401615233405,0.7352675654818455,0.7423200051638009,0.7361348682425745,0.005410040873897499,3,0.7357634222263509,0.7391189760294273,0.7380231456450487,0.736997561497473,0.7348572320456235,0.7369520674887846,0.0015261706221122886,0.6778861788617886,0.6784552845528455,0.6756910569105691,0.6673713310025206,0.6768842995365477,0.6752576301728543,0.004053686921895348,12,0.6747225496971422,0.6770397170616692,0.6783812350095533,0.6768633508811155,0.6723713896623915,0.6758756484623742,0.0021079868223920412,0.25273481705016976,0.2519387176092302,0.24579315560597464,0.247839676411105,0.25244544770504135,0.2501503628763042,0.0028096105614749136,1,0.2494958495521268,0.2507662564247654,0.2519029833104818,0.25094232943837164,0.248636554328066,0.2503487946107623,0.0011490293756741237,0.67472306143001,0.6706948640483383,0.6545820745216515,0.6794354838709677,0.6764112903225806,0.6711693548387097,0.008761262661955403,1,0.6700251889168766,0.6697732997481108,0.6710327455919396,0.6706119365399144,0.6716192394862754,0.6706124820566234,0.0006692267833520557,0.15548851241587375,0.15510013972985562,0.15130353817504655,0.15156285136046774,0.15518038852913968,0.15372708604207666,0.0018792276838957003,9,0.15328761597418314,0.15426118234031444,0.15505500261917235,0.15434996812148613,0.15255691568470428,0.15390213694797208,0.0008770201689744224
0.2122426986694336,0.04244374302769486,0.09567036628723144,0.006226767641920531,LogisticRegression(),RandomUnderSampler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.7404967344151611,0.7270928337043304,0.7314182384500827,0.7342628888185166,0.7431798956969278,0.7352901182170037,0.005875364966807649,4,0.7355754187181255,0.7381223853438686,0.7379268799626811,0.7365149122060917,0.7352399650717906,0.7366759122605114,0.001179504638049412,0.6794308943089431,0.6760975609756098,0.6754471544715447,0.6714367021709082,0.68403935279291,0.6772903329439831,0.0042241277669041845,11,0.6782592788324728,0.6773649335338835,0.6793568844261962,0.6772292119758532,0.6758267444460253,0.6776074106428862,0.0011711696836806357,0.25279514875876447,0.24545454545454545,0.24451173353520061,0.24734587446451853,0.25697896749521987,0.2494172539416498,0.004746524775282948,2,0.2514069519981083,0.2515913055778207,0.2528300099464785,0.250448409326914,0.2500587765082052,0.2512670906715053,0.0009692941160919586,0.6717019133937563,0.6525679758308157,0.6505538771399798,0.6693548387096774,0.6774193548387096,0.6643195919825877,0.010761519903932537,2,0.6695214105793451,0.6720403022670025,0.6722921914357682,0.6680936791740116,0.6696046335935533,0.6703104434099362,0.0016096285835923304,0.15569561157796452,0.15115465360391883,0.15054765788860405,0.15170207904957733,0.15856536101934876,0.15353307262788268,0.003095888139721976,10,0.15475982532751092,0.15476535761935148,0.15569036924692295,0.15410978797560268,0.1537349676225717,0.15461206155839194,0.0006677804742781367
0.33779306411743165,0.031010534057478008,0.09357728958129882,0.018957460078953856,LogisticRegression(),passthrough,StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.7402751425896194,0.7272854796523396,0.7306698316534482,0.7353050993247118,0.7420800916931276,0.7351231289826494,0.0055899247167373245,5,0.7348936560776085,0.7381227584882551,0.7374187018629818,0.7361781423322984,0.7346299329821048,0.7362486383486498,0.0013669329633953955,0.9191869918699187,0.9194308943089431,0.9195121951219513,0.9190178063257175,0.9190991137490853,0.9192494002751233,0.00019084958589509664,2,0.9192650107727957,0.919183706654742,0.9191633806252286,0.919226000528466,0.9192056749120917,0.9192087546986647,3.509376198709419e-05,0.007984031936127744,0.021717670286278384,0.02173913043478261,0.011904761904761904,0.01582591493570722,0.015834301899531573,0.005413854763749461,15,0.01488095238095238,0.015841584158415842,0.015350334241148799,0.014873574615765989,0.01340282948622487,0.014869854976501576,0.0008157718681056755,0.004028197381671702,0.011077542799597181,0.011077542799597181,0.006048387096774193,0.008064516129032258,0.008059237241334503,0.002775361792876835,15,0.007556675062972292,0.008060453400503778,0.0078085642317380355,0.007554772097708386,0.006799294887937547,0.007555951936172008,0.0004221057931272905,0.4444444444444444,0.55,0.5789473684210527,0.375,0.42105263157894735,0.4738888888888889,0.07780468250307473,1,0.4838709677419355,0.45714285714285713,0.4492753623188406,0.47619047619047616,0.46551724137931033,0.466399380954684,0.012496521982782925
0.9656798839569092,0.07152224470147918,0.06257076263427734,0.00523660511507103,LogisticRegression(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.7399186184426565,0.7272805811192187,0.729425247983786,0.7344596517429967,0.7426522822002927,0.7347472762977901,0.005888805448427626,6,0.7340072655110552,0.7378866360621438,0.736462928717838,0.7354228767033621,0.7340943216670557,0.735574805732291,0.001470062566962579,0.9190243902439025,0.9192682926829269,0.9191056910569105,0.919180421172453,0.9197495731360273,0.9192656736584439,0.0002550473167820229,1,0.9193056628318225,0.9193056628318225,0.9193666409203626,0.9193073029939632,0.9191446980629687,0.9192859935281879,7.442616031832831e-05,0.004,0.017804154302670624,0.011916583912611719,0.013888888888888888,0.02758620689655172,0.01503916680014459,0.007720236238276959,16,0.014399205561072492,0.01488833746898263,0.012938541925852204,0.01488833746898263,0.01485884101040119,0.014394652687058229,0.000751425233126652,0.002014098690835851,0.00906344410876133,0.006042296072507553,0.007056451612903226,0.014112903225806451,0.0076578387421628825,0.0039614903836378565,16,0.007304785894206549,0.007556675062972292,0.00654911838790932,0.007554772097708386,0.007554772097708386,0.007304024708100987,0.0003897344840467821,0.2857142857142857,0.5,0.42857142857142855,0.4375,0.6086956521739131,0.4520962732919255,0.10513569118255525,4,0.5,0.5,0.5306122448979592,0.5084745762711864,0.44776119402985076,0.49736960303979927,0.027214797037694475
1.7461673259735107,0.11777938339164723,0.5881521224975585,0.019899671394210092,RandomForestClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.7302982111180492,0.7165488747579568,0.7267536325517678,0.7199777846010322,0.7290488050508249,0.7245254616159261,0.0053489685453955785,9,0.9804089283761045,0.9819875825345259,0.981480028198577,0.9800953603730523,0.9810576494968374,0.9810059097958194,0.0006894394373983339,0.6847967479674797,0.676260162601626,0.6828455284552846,0.6702170908203919,0.6833075859826002,0.6794854231654766,0.005484773422398473,10,0.7359852026505143,0.7381600878084476,0.7343184682304159,0.729933535234456,0.729161161812232,0.7335116911472132,0.0034671903659778875,0.25139988414751885,0.23833205814843153,0.25253880053650124,0.2424355621964886,0.25196850393700787,0.24733496179318962,0.005833174687194085,6,0.3793778966983611,0.38132744212851793,0.37789729189472177,0.3741108860520985,0.3734424225325622,0.3772311878612523,0.0030305899931501656,0.6555891238670695,0.6273917421953675,0.6636455186304129,0.6542338709677419,0.6612903225806451,0.6524301156482474,0.012995703461393266,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15551839464882944,0.14710743801652892,0.15593942262186464,0.1487849610270518,0.15563463819691578,0.15259697090223812,0.003836678599782291,12,0.23409399139100182,0.235580346546404,0.23296754885276685,0.23009618727546646,0.22959065679925994,0.23246574617297983,0.0023015069924398964
1.7273045539855958,0.08587992284350209,0.5991751670837402,0.009451630980041198,RandomForestClassifier(),RandomUnderSampler(),passthrough,"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.7213432917839754,0.7181392058017158,0.7271839018882599,0.7209957006364883,0.7267897313111775,0.7228903662843233,0.0035269312143314936,12,0.9829437204700773,0.9797184024118272,0.9818483885397667,0.9792757741703766,0.9780718764371489,0.9803716324058394,0.0017727344923661604,0.6830081300813008,0.6759349593495935,0.6765853658536586,0.6807057484348321,0.6834702008293357,0.6799408809097441,0.0031545531456569904,9,0.7345217285255499,0.7323874954266434,0.7256189275986829,0.7361734994613711,0.7292627898941035,0.7315928881812701,0.003776481674951753,0.24889231361972644,0.24249334853667806,0.2525366403607666,0.247557003257329,0.25235260226618017,0.24876638160813602,0.003685247032493737,3,0.3780772344174087,0.3761963422723396,0.37035309482718415,0.37960042060988436,0.3735302417458376,0.3755514667745309,0.0032953851147895876,0.6505538771399798,0.6424974823766365,0.676737160120846,0.6512096774193549,0.6622983870967742,0.6566593168307182,0.011852859767029968,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15388280133396856,0.14944951979386273,0.15523215523215522,0.1528270641116631,0.15587188612099645,0.1534526853185292,0.0022636599389154986,11,0.2331043391462627,0.23167600373482727,0.22725971721334937,0.23426346528228423,0.22965704701868023,0.23119211447908078,0.002495761531455152
11.31623878479004,0.25891368786004276,0.6877898693084716,0.046106715452248107,RandomForestClassifier(),passthrough,StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.7056031915635502,0.7040171356032423,0.7092339397806401,0.6976010168551026,0.7128305741946895,0.705857171599445,0.005131183812598759,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9191056910569105,0.9191869918699187,0.9182926829268293,0.9192617285958208,0.9194243434425563,0.9190542875784071,0.0003950360768814963,5,0.9998780438229197,0.9999593479409732,0.9999390219114598,0.9998983719181285,0.9999186975345027,0.9999186966255966,2.8745054486805848e-05,0.01387512388503469,0.023575638506876228,0.007897334649555774,0.019743336623889437,0.033170731707317075,0.019652433074534643,0.00859888181912914,13,0.9992437610284849,0.999748047367095,0.9996220234345471,0.9993700390575785,0.99949609473419,0.9994959931243791,0.0001782697101694377,0.007049345417925478,0.012084592145015106,0.004028197381671702,0.010080645161290322,0.017137096774193547,0.01007597537601923,0.0044638572132962755,14,0.9984886649874055,0.9994962216624685,0.9992443324937028,0.9987408713170486,0.9989926970536389,0.9989925575028529,0.00035618025055352063,0.4375,0.48,0.2,0.47619047619047616,0.5151515151515151,0.42176839826839824,0.11357974668748218,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11.259317255020141,0.6965544229962055,0.6798197269439697,0.032529488368748326,RandomForestClassifier(),passthrough,passthrough,"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.7077894959596454,0.6991157078945917,0.7039063396904714,0.6977377791234092,0.7205699010319043,0.7058238447400045,0.008189875989156482,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9192682926829269,0.9189430894308943,0.9183739837398374,0.9194243434425563,0.9193430360191885,0.9190705490630808,0.00038470023414848443,3,0.9999186958819464,0.9999186958819464,0.9999390219114598,0.9999593487672513,0.9999593487672513,0.999939022241971,1.8180523005434258e-05,0.007992007992007992,0.01579466929911155,0.021442495126705655,0.027477919528949946,0.025540275049115917,0.019649473399178212,0.007070460440032084,14,0.9994959677419354,0.9994959677419354,0.9996220234345471,0.9997481108312342,0.9997481108312342,0.9996220361161772,0.00011276181772404942,0.004028197381671702,0.008056394763343404,0.011077542799597181,0.014112903225806451,0.01310483870967742,0.010075975376019232,0.00366410320221332,13,0.998992443324937,0.998992443324937,0.9992443324937028,0.9994963485268195,0.9994963485268195,0.9992443832394432,0.00022535325855338215,0.5,0.4,0.3333333333333333,0.5185185185185185,0.5,0.4503703703703704,0.07184039618491456,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.196833848953247,0.5262592556533477,0.1457958698272705,0.04611865853100134,LGBMClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.7336469819558524,0.7208623448957417,0.7327656913152837,0.7341628580068869,0.7364374445461987,0.7315750641439926,0.0054920344213151935,7,0.8272997529004459,0.8286885183360924,0.830221760265759,0.830513211363441,0.8260380428576802,0.8285522571446838,0.0017053556575936026,0.673739837398374,0.6651219512195122,0.67,0.6819253597853484,0.6794048296609481,0.6740383956128365,0.006113977019970898,14,0.6953941217122648,0.6934224968494654,0.6998048701166714,0.7051159576414154,0.6949734750706316,0.6977421842780898,0.004253611511454324,0.24496707431796802,0.2398966599003506,0.24623955431754876,0.252864782276547,0.25392620624408707,0.24757885541130026,0.005212698747997691,5,0.30102611940298507,0.302003794715165,0.3054131590086065,0.3058373205741627,0.3002098391233388,0.3028980465648516,0.002301972164260407,0.6555891238670695,0.6545820745216515,0.6676737160120846,0.6673387096774194,0.6764112903225806,0.6643189828801611,0.008217234405430705,3,0.8128463476070529,0.8219143576826197,0.8178841309823678,0.8048350541425333,0.8106270460841098,0.8136213872997367,0.005894247325407953,0.15062471078204534,0.14685946678716674,0.15095628415300547,0.15598491988689916,0.1563009550430934,0.15214526733044204,0.0035687009601752286,14,0.18471665712650256,0.18498781110040252,0.18776383507777714,0.18878846949022388,0.18421655030330777,0.18609466461964277,0.001827241497367139
3.8562479496002195,1.5091715473514649,0.11364359855651855,0.020068559058177324,LGBMClassifier(),RandomUnderSampler(),passthrough,"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.7287499629270108,0.7277241210272563,0.7269346556166447,0.7266897896535688,0.7337741910520745,0.7287745440553111,0.0026012248362763334,8,0.8253012918147271,0.8270771750586283,0.8266636364000901,0.8316030503230316,0.8281038206888506,0.8277497948570656,0.00212604029645809,0.668130081300813,0.6687804878048781,0.6836585365853659,0.673469387755102,0.6778599886169607,0.674379696412624,0.005821456805811552,13,0.6916338062522867,0.6950079271515103,0.7046831171998862,0.7020467895688937,0.6927986341185797,0.6972340548582312,0.0051892645204850195,0.24210917192721873,0.24583487597186227,0.2504334424966288,0.24482888303873637,0.2547027840481565,0.24758183149652052,0.004459153106059714,4,0.2985157442086281,0.29906105479516043,0.30453305251065055,0.3060828402366863,0.29949944382647387,0.30153842711551987,0.003132121016030478,0.6565961732124874,0.6686807653575025,0.6545820745216515,0.65625,0.6824596774193549,0.6637137381021992,0.010638007302151921,4,0.8130982367758186,0.8062972292191436,0.8012594458438287,0.8141526063963737,0.8136489549231931,0.8096912946316716,0.005094887367235648,0.14841793762804462,0.15060104332048083,0.15483563601715103,0.15048543689320387,0.15656799259944496,0.15218160929166508,0.0030273628909818686,13,0.18281701308263013,0.18357515627688248,0.18799125347201703,0.18846916171155415,0.18352740698665151,0.18527599830594704,0.0024317050269314004
